model,split,training_source,feature_space,delta_mae,delta_rmse,delta_r2,level_mae,level_rmse,level_r2,pretrain_val_delta_mae,n
pretrained_finetuned_nn,val,eVTOL+plane,pipeline_overlap,0.10977773270059542,0.14281239249809366,-2.6842371879743148,0.10977773270059542,0.14281239249809366,0.9910393662686543,0.45660215616226196,
pretrained_finetuned_nn,test,eVTOL+plane,pipeline_overlap,0.6692982761210766,1.118216803488843,-1.1166780397220437,0.6692982761210766,1.118216803488843,0.9553781790904294,0.45660215616226196,
scratch_nn_same_features,val,plane_only,pipeline_overlap,0.0689676776550497,0.09545177752302363,-0.6458256744064896,0.0689676776550497,0.09545177752302363,0.9959970978247168,0.45660215616226196,
scratch_nn_same_features,test,plane_only,pipeline_overlap,0.5013310144415728,0.7955448372591853,-0.07135178913546203,0.5013310144415728,0.7955448372591853,0.9774147665498395,0.45660215616226196,
ridge_plane_only_same_features,val,plane_only,pipeline_overlap,0.19562373527758245,0.22811754891802485,-8.400115401591535,0.1956237352775815,0.2281175489180244,0.9771374678533238,0.45660215616226196,
ridge_plane_only_same_features,test,plane_only,pipeline_overlap,0.5595771647966272,0.8005097697163011,-0.08476596101088152,0.5595771647966282,0.8005097697163014,0.977131981561361,0.45660215616226196,
elastic_plane_only_same_features,val,plane_only,pipeline_overlap,0.0792241873736662,0.09381179867912974,-0.5897568978371759,0.07922418737366677,0.09381179867912999,0.9961334657470217,0.45660215616226196,
elastic_plane_only_same_features,test,plane_only,pipeline_overlap,0.5555384090339756,0.8924062134395939,-0.3481181218422891,0.5555384090339758,0.8924062134395939,0.9715802383409747,0.45660215616226196,
random_forest_plane_only_same_features,val,plane_only,pipeline_overlap,0.07978404967577128,0.1363084236904396,-2.356303171362103,0.07978404967577113,0.13630842369043927,0.9918369524339813,0.45660215616226196,
random_forest_plane_only_same_features,test,plane_only,pipeline_overlap,0.8265771755252663,1.1347099644199805,-1.1795784890001513,0.8265771755252658,1.1347099644199803,0.9540521708217427,0.45660215616226196,
hgbt_plane_only_same_features,val,plane_only,pipeline_overlap,0.20481570190298676,0.35552068787690677,-21.832083674231523,0.2048157019029865,0.3555206878769055,0.9444688469580557,0.45660215616226196,
hgbt_plane_only_same_features,test,plane_only,pipeline_overlap,0.8319219632740138,1.0560770236822068,-0.8879651091441734,0.8319219632740128,1.0560770236822061,0.9601996905515154,0.45660215616226196,
transfer_physics_hybrid_tuned,val,eVTOL+plane_weighted_physics,pipeline_overlap,0.17531175682650943,0.1804567816207365,-4.882503679458391,0.17531175682650943,0.1804567816207365,0.9856928427227831,,56.0
transfer_physics_hybrid_tuned,test,eVTOL+plane_weighted_physics,pipeline_overlap,0.5225668240181811,0.8041846721330915,-0.09474849817023179,0.5225668240181811,0.8041846721330915,0.9769215390769641,,56.0
transfer_physics_pinn_tuned,val,eVTOL+plane_weighted_physics,pipeline_overlap,0.18882051059462487,0.24164564886018977,-9.548088168608306,0.18882051059462487,0.24164564886018977,0.9743454208232429,,56.0
transfer_physics_pinn_tuned,test,eVTOL+plane_weighted_physics,pipeline_overlap,0.6245145808668536,0.8677518913357773,-0.27465869742186766,0.6245145808668536,0.8677518913357773,0.9731288410188949,,56.0
